scenario,probability,case,case_name,duration_h,start,direction,F_PHYS_MW,F_RM_MW,retained_ratio,loss_MW,baseline_window_avg_MW,base_p2a_tau_MW,base_h2_prev_kg,base_used_matching_margin_tau_MW,base_available_matching_headroom_tau_MW
1,0.145038167939,1,MONTHLY,1,1,INC,18.2752499258,18.2752499258,1.0000000000,0.0000000000,89.0519520000,89.0519520000,13515.5000000000,5.0328349536,73.2737329536
1,0.145038167939,1,MONTHLY,1,1,DEC,86.6576714997,86.6576714997,1.0000000000,0.0000000000,89.0519520000,89.0519520000,13515.5000000000,5.0328349536,73.2737329536
1,0.145038167939,1,MONTHLY,1,7,INC,18.2752499258,18.2752499258,1.0000000000,0.0000000000,89.0519520000,89.0519520000,12687.5008449406,5.0328349536,114.8234209536
1,0.145038167939,1,MONTHLY,1,7,DEC,86.6576714997,86.6576714997,1.0000000000,0.0000000000,89.0519520000,89.0519520000,12687.5008449406,5.0328349536,114.8234209536
1,0.145038167939,1,MONTHLY,1,13,INC,18.2752499258,18.2752499258,1.0000000000,0.0000000000,89.0519520000,89.0519520000,11859.5016898809,5.0328349536,117.0502499536
1,0.145038167939,1,MONTHLY,1,13,DEC,86.6576714997,86.6576714997,1.0000000000,0.0000000000,89.0519520000,89.0519520000,11859.5016898809,5.0328349536,117.0502499536
1,0.145038167939,1,MONTHLY,1,19,INC,18.2752499258,18.2752499258,1.0000000000,0.0000000000,89.0519520000,89.0519520000,11031.5025348210,5.0328349536,138.6107629536
1,0.145038167939,1,MONTHLY,1,19,DEC,86.6576714997,86.6576714997,1.0000000000,0.0000000000,89.0519520000,89.0519520000,11031.5025348210,5.0328349536,138.6107629536
1,0.145038167939,1,MONTHLY,1,169,INC,21.1791179258,21.1791179258,1.0000000000,0.0000000000,86.1480840000,86.1480840000,12500.6715663025,4.9659717131,22.3891797131
1,0.145038167939,1,MONTHLY,1,169,DEC,83.7538034997,83.7538034997,1.0000000000,0.0000000000,86.1480840000,86.1480840000,12500.6715663025,4.9659717131,22.3891797131
1,0.145038167939,1,MONTHLY,1,175,INC,21.1791179258,21.1791179258,1.0000000000,0.0000000000,86.1480840000,86.1480840000,11408.7385674034,4.9659717131,27.9989087131
1,0.145038167939,1,MONTHLY,1,175,DEC,83.7538034997,83.7538034997,1.0000000000,0.0000000000,86.1480840000,86.1480840000,11408.7385674034,4.9659717131,27.9989087131
